JOURNAL TITLE                                      (Previous title if applicable),Open Access ,ISSN (Print),ISSN (Online),FREQUENCY,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,International Accreditation                         (if applicable)                                 USE INTERNTIONAL LIST WHEN REPORTING TO DHET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowering Plants of Africa (The Flowering Plants of South Africa),,0015-4504,,Biennial,Mr G. Germishuizen,"South African National Biodiversity Insitute,                                                                 Private Bag X101                                                      Pretoria, 0001                                                                                                                                                                                                    Tel:  012 804 5000                                                          Fax: 012 804 3211",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Studies in Southern Africa,,0259-0247,,Annually,"Prof. B De Meyer (UKZN) School of Language, Literature and Linguistics,                                                                                                 Tel: 033 2605543; Fax:033 2605836                              E-mail:demeyerb@ukzn.ac.za;",Association for French Studies in South Africa,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamina: a Journal of Legal History,YesURL: http://www.journals.co.za/ej/ejour_funda.html  URL: http://www.unisa.ac.za/default.asp?Cmd=ViewContent&ContentID=20119,1021-545X,,Biannually,R van den Bergh (Pretoria)    vdberh@unisa.ac.za,UNISA                                                                                              Southern African Society of Legal Historians c/o School,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health SA Gesondheid,Yes                                          URL: http://www.hsag.co.za/ URL: http://www.unisa.ac.za/default.asp?Cmd=ViewContent&ContentID=20119,1025-9848                                   e2071-9736,,Continuous Online,Prof Marie Poggenpoel                 email:editor@hsag.co.za,"Department of Nursing                                                            University of Johannesburg                                        P.O.Box 524                                                                         Auckalnd Park, 2006",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia: Journal of the Historical Society of South Africa,,0018-229X                                ,,Biannually,Karina.sevenhuysen@up.ac.za,"The Historical Association of South Africa 
c/o Department of Historical and Heritage Studies 
University of Pretoria 
Private bag X20 Hatfield
Pretoria 
0028 

",Reviewed 2011,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTS Theological Studies/ Teologiese Studies                                                                www.hts.org.za,Yes                                      URL: http://www.hts.org.za/,0259-9422                    e-2072-8050,,Continuous Online,"Prof AG van Aarde  email:editor@hts.org.za                                      
University of Pretoria
Hillcrest
Pretoria 0002
",Faculty of Theology                   University of Pretoria                      0002,Reviewed 2011,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image and Text,,1020-1497,,Annually,,"Department of Visual Arts                                                      University of Pretoria, 0002                                       Tel:012 420 2353                                                                   Fax:012 420 3686                                                                E-mail: marians@uj.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imiesa,,0257-1978,,Monthly,Bronwyn Barnard,All Africa House                                                                    University of Cape Town                                                    Private bag; Rondebosch; 7700                                              Tel:  021 650 2970                                                       Fax: 021 685 2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Retail and Marketing Review (IRMR),http://www.unisa.ac.za/Default.asp?Cmd=ViewContent&ContentID=25784,1817-4428,,Annually,Prof M C Cant                                      Email: cantmc@unisa.ac.za,UNISA Department of Marketing and  Retail Management   Department of Marketing and Retail Management    College of Economic and Management Sciences AJH van der Waldt Building Preller         Street  Muckleneuk       Pretoria                         0003,Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Independent journal of teaching and learning,www.facultybytes.net,1818-9687,,Annually,"Proffessor Dolina Dowling,           Email: e-mail: editor@iie.ac.za","Inanda Greens Business Park , 54 Wierda Road West, Wierda Valley, Santon, South Africa, , Tel: (011) 676 8021",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In die Skriflig,,1018-6441,,Quarterly,Prof. J.M. Vorster,American Theological Library Associaciation(USA)       atla@alta.com,Being called for Review ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indilinga: African Journal of Indigenous Knowledge Systems,URL: http://www.ipjp.org/   URL: http://www.journals.co.za/ej/ejour_funda.html,1683-0296,,Biannually,Queeneth Mkabela University of KwaZulu-Natal ,"Pinetown Printers                                                                       16 Ivy Road                                                                     Pinetown, 3610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-Pacific Journal of Phenomenology,,1445-7377,,Biannually,Prof CR Stones                                                     University of Johannesburg                                editor@ipjp.org,c/o Department of Psychology                                 University of Johannesburg                        Auckland Park                                               Johannesburg                                                    2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Law Journal including Industrial Law Reports,URL: http://www.journals.co.za/ej/ejour_funda.html,0258-249X,,Quarterly,,"Industrial Law Journal, Center for Applied Legal Studies,                                                                    University of Witwatersrand                             Johannesburg, 2000                                                Published by Juta Law                                                          P.O. Box 24299, Lansdowne, 7779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation: A Journal for Appropriate Librarianship and Information Work in Southern Africa,,1025-8892,,Biannually,,University of Natal                                                        Private Bag X014                                                        Scottville                                            Pietermaritzburg; 3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal for Religious Freedom,,2070-5484,,Biannually,Dr Christof Saurer  christof@iirf.eu                        Prof Dr Thomas Schirrmacher                                       http:www.iirf.eu,International Institute for Religious Freedom                           P.O. Box 535                                      Edgemead,added 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of African Renaissance Studies,,1818-6874,,Biannually,"Prof Shadrack B. O. Gutto, University of South Africa
",UNISA Press                                                                  ,Added 2008,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Analysts Journal ,Yes                                       URL: http://www.iassa.co.za/journals,1029-3523 ,,Biannually,Prof C Firer (UCT) & Prof E van der Merwe Smit (SUN),"Investment Analysts Society; Southern Africa, PO Box 131, Ferndale, 2160",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Studies in Southern Africa,,1012-2338,,Biannually,Prof Anna Meda (UNISA),Association of Professional Italianists                                                     School of  literature & Language Studies                                       University of the Witwatersrand                                 Private Bag 3; Wits 2050                                              Tel: 011 717 4211; Fax: 011 640 2359                                           E-mail:Alida.poeti@wits.ac.za,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Constructioin Project Management and Innovation (JCPMI),http://reference.sabinet.co.za/sa_epublication/jcpmi,2223-7852,,Biannually,Professor Wellington Didibhuku    Email: didibhukut@uj.ac.za,University of Johannesburg,Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamba: Journal of Disaster Risk Studies ,Yes                                       URL: http://search.sabinet.co.za/WebZ/Authorize:sessionid=0:autho=fjemba:password=freejnl&AdvancedQuery?&next=ej/ej_content_jemba.html&bad=ej/ej_badfetch.html&ref=logon_open.html,1996-1421                      2072-845x,,Triannually,Prof Dewald van Niekerk                             http:www.acds.co.za,African Journal of Disaster Risk Studies (North West University),Added 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Contemporary History,,0258-2422,,Biannually,,Department of History                                                            University of the Free State                            Tel: 051 401 2330; Fax: 051 448 3942                      E-mail:barnards.hum@mail.uovs.ac.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Islamic Studies,"Yes                                          URL: http://www.ufs.ac.za/templates/journals.aspx?journal=13

URL: http://www.journals.co.za/ej/ejour_contemp.html",0257-7062,,Annually,Prof A Tayob  abdulkader.tayob@.uct.ac.za,"Centre for Contemporary Islam                                    University of Cape Town                                                Private Bag, Rondebosch 7701                                    Tel. 021 6503399; Fax 021 6897575                                                E-mail: Abdulkader.Tayob@uct.ac.za",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Juridical Science/ Tydskrif vir Regswetenskap,,0258-252X,,Biannually,C Ngwenya (UFS)                              ngwenac.hum@ufs.ac.za,"Faculty of Law                                            University of the Free State                                        Bloemfontein, 9300",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Language Teaching (SAALT Journal for Language Teaching),,0259-9570,,Biannually,"Prof. Anna Coetzee, Afrikaans Department, UJ","SA Association for Language Teaching                                                       Depts: Afrikaans; Linguistics & Literary Theory University of Johannesburg                                        P.O. Box 524, Auckland park, 2006                                                  Tel:  011 489 2694, Fax: 011 489 3061                                                               E-mail:gps@.rau.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for New Generation Sciences,,1684-4998,,Biannually,Prof L  Lategan (CUT),Central University of Technology                                     Free State                                                                       P/B  X20539                                                               Bloemfontein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Semitics/Tydskrif vir Semitistiek,Yes  URL: http://www.journals.co.za/ej/ejour_newgen.html,1013-8471,,Biannually,Prof W S Boshoff ,"Department old Testament and Ancient Eastern Studies          P.O>Box 392                                        UNISA,0003                           boshows@unisa.ac.za",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journal for Studies in Economics and Econometrics

Tydskrif vir Studies in Ekonomie en Ekonometrie
",,0379-6205,,Triannually,"Editor/Redakteur:
Professor Eon SMIT
University of Stellenbosch Business
evdms@sun.ac.za
Managing Editor/Bedryfsredakteur:
GM Pellissier
Bureau for Economic Research
University of Stellenbosch; gmp@sun.ac.za
",Graduate School of Business and Bureau for Economics Research                                             University of Stellenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for the Study of Religion (Religion in Southern Africa),,1011-7601,,Biannually,David Chidester davidc@iafrica.com,Department of Religious Studies                                UCT                                                                       Private Bag                                      Rondebosch                                               7701                                                          ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal for Transdisciplinary Research in Southern Africa,,1817-4434,,Biannually,"Prof. Johann Tempelhoff (NWU)
",Vaal Triangle Faculty                                                North-West University                                                           PO Box 1174                                                      Vanderbijlpark;1900,Added 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of African Elections,,1609-4700,,Biannually,"D. Kadima & K. Matlosa, Electoral Institute of Southern Africa, Johannesburg",41 Stanley Avenue                                                         The Atrium; 2nd Floor                                                      Auckland Park                                                                  Tel:011 482 5495; Fax:  011 482 6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Early Christian History: A journal for the Study of Early Christianity and Late Antiquity (Fomerly know as Acta Patristica et Byzantina),,1022-6486,,Annually,Rev Chris L de Wet               (University of South Africa),UNISA Press                                        ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Child and Adolescent Mental Health ,,1728-0583,,Biannually,"Prof Sraya Seedat                                   sseedat@sun.ac.za                               012 938 9161

","South African Association for Child and Adolescent Psychiatry and Allied Professions                                                        P.O. Box 13031                                                        Mowbray,7705",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journal of Construction 

",Yes                                        URL: http://www.asocsa.org/publications.html,1994-7402,,Biannually,"Dr Wellington Didibhuku Thwala (UJ)Faculty of Engineering and the Built Environment
Department of Construction Management & Quantity Surveying 
PO Box 17011
Doornfontein
2028, Fax: 011 5596630 & 0862191096","Publisher: Crown Publications CC
PO Box 140
Bedfordview, 2008
Fax 011 615 6108",Added 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Contemporary Management,,1815-7440,,Annually,Dr Marthie Grobler,info.jcman@gmail.com                                                                                                                                                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Contemporary Roman  Dutch Law,,1682-4490,,Quarterly,,"Butterworths Publishers, 215 North Ridge Road, Morningside, Durban, Tel: 031 268 3264",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journal of Economic and Financial Sciences 



",,1995-7076,,Biannually,Professor G Els,"Publisher: University of Johannesburg
PO Box 524
Auckland Park, 2006
Fax: 011 559 3753",Added 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Education,Yes                   http://joe.ukzn.ac.za/download.aspx,0259-479X,,Triannually,,"School of Education, Training and Development,                                                            University of KwaZulu-Natal                                         Private BagX 01, Scottsville, 3209                                 Tel:  033 260 5368                                                       Fax: 033 260 5080                                                                      E-mail:Joe@ukzn.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Educational Studies,,1680-7456,,Biannually,,School of Human and Social Sciences  University of Venda for Science & Technology                                                          P/BagX5050                                                                 Thohoyandou                                                                  Tel:015 963 8115                                                                           E-mail:peggyd@univen.ac.za ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journal of Endocrinology, Metabolism and Diabetes of South Africa (JEMDSA)",Yes                                          URL: http://www.jemdsa.co.za/,003-8-2469,,Triannually,"Prof Stephen Hough 
University of Stellenbosch, South Africa",Dr Douw Greef                                 douw@medpharm.co.za                         0126647460 ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Energy in Southern Africa,"Yes
URL: http://www.erc.uct.ac.za/jesa/jesa-contents.htm",1021-447X,,Quarterly,R Drummond    richard.drummond@uct.ac.za,"Energy Research Insitute,UCT                                           Private Bag, Rondebosch, 7701                                    Tel:  021 650 3894/2                                                   Fax:  021 686 4838                                                                 E-mail: rdrummond@eng.uct.ac.za http://www.eri.uct.ac.za/eri.html",Reviewed 2011,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Journal of Engineering, Design and Technology",,1726 0531,,Biannually,Dr. Theo C. Haupt (CPUT)  ,Faculty of Engineering                                                                 PO Box 1906                                                  Bellville; 7535                                                                 Tel: 021 959 6637/666;                                Fax:021 959 6743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Family Ecology and Consumer Sciences,,0378-5254,,Biannually,"Prof E Boshoff, PhD Department of Consumer Science, UP
Tel:  012 420 3775; Fax: 012 420 2855 
E-mail: hebos@intekom.co.za 
","South African association for Family Ecology and Consumer Sciences                                                   P.O. Box 35269                                                                Menlo Park, 0102 http://www.up.ac.za/academic/acadorgs/saafecs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Journal of Constructive Theology: Gender, Religion and Theology in Africa (Journal of Gender and Religion in Africa)",,1025-5648,,Biannually,Prof I Apawo Phiri                                                      UKZN School of Religion                                                   email:phirii@ukzn.ac.za/ jct@ukzn.ac.za                                      prof S Nadar                         ,Centre for Constructive       Theology                                 UKZN School of Theology                        Private Bag X01                                                         Scottville                                               3209                                                               Tel: 033 260 6244                   Fax 033  2605858,Reviewed in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Literary Studies,,0256-4718  ,,Quarterly,Ina Gräbe (UNISA),Unisa Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Northwest Semitic Languages,,0259-0131,,Biannually,J Cook; PA Kruger; I Cornelius; CHJ van der Merwe Prof C van der Merwe; e-mail: cvdm@sun.ac.za; tel: 021 808 3655,University of Stellenbosch,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Psychology in Africa,,1433-0237,,Biannually,,PO Box 377; 19 Worcester Street; Grahamstown; 6140; Tel: 046 622 9698; Fax: 046 622 9550,,ISI Social Science & IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Public Administration,,0036-0767 ,,Quarterly + 2 special editions,Prof MJ Mafunisa (TUT),"South African Association of Public Administration & Management, PO Box 14257, Hatfield, 0028, Tel: (012)3829769 Fax: (012)3829042                                     E-mail: saapam@tut.ac.za",Reviewed 2012,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of South African Law/ Tydskrif vir die Suid Afrikaanse Reg( TSAR),,0257-7747,,Quarterly,"Prof JC Sonnekus (UJ)
",Juta Law                                                       ,Reviewed 2011,ISI Soc Scie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Mine Ventilation Society of South Africa,Yes,0368-3206,,Monthly,,"Mine Ventilation Society of South Africa                                           P.O. Box 93480                                                              Yeoville, 2143                                                                                E-mail:  minevent@global.co.za; http://www.home.global.co.za/~minevent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Musical Arts In Africa ,,1812-1004 ,,Annually,,"Nisc Pty Ltd, 19 Worcester St, PO Box 377, Grahamstown, 6140 ",,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the SA Institution of Civil Engineering,Yes                                   URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1021-2019&lng=en&nrm=iso,1021-2019,,Biannually,Prof Eben Rust (UP),"SAICE                                                                                     P/Bag X200                                                                     Halfway House, 1685                                                                         Tel:   011  805 5947/8                                              Fax:  011 805 5971                                                                          E-mail:civilinfo@saice.org.za www.civils.org.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the Southern African Association for Research in Mathematics and Science Education,,1028-8457,,Annually,"Prof IM Christiansen 
University of KwaZulu-Natal
Private Bag x01 
Scottsville
3209; Fax: 033 260 5080
","SAARMSTE                                                                     P.O. Box 42                                                                   Kloof, 3640",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Theology for Southern Africa,,0047-2867,,Annually,Prof. Steve de Gruchy,"Prof S. Degruchy                                                         JTSA School of Theology, University of KZN                                                  Room 111A; New Arts Building; Golf Rd; Scottsville, 3209                                                                 Tel:033 260 6106; Fax:033 260 5858                                                E-mail:jtsa@ukzn.ac.za",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Transport and Supply Chain Management,,1995-5235,,Annual,Stephen Kruger. Email: stephenk@uj.ac.za,Sabinet Online - SA,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koedoe: Research Journal of the South African National Parks,Yes                          URL: http://www.koedoe.co.za/,0075-6458,,Continuous Online,"Dr Lyllwellyn C Foxcroft           email:editor@hsag.co.za
The Editor: Koedoe
Private Bag X22
Tygervalley
7536;Fax: 021 914 5100","AOSIS (Pty) Ltd, Postnet Suite 55                                     Private bag X22,                                                      Tygervalley, 7563                                                                Tel  021-9754684                                                         Fax 021-9753448                                                    info@openjournals.net; www.openjournals.net",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koers:Bulleting for Christian Scholarship                                                  www.koers.co.za,Yes                                      URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0259-0190&lng=en&nrm=iso,0023-270X,,Quarterly,Prof. H. Hoogstad,Koers                                                 Box 251                                              018 299 4081                  susan.lourens@nwu.ac.za                                                       ,Reviewed 2011,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kronos: Southern African Histories (Kronos: Journal of Cape History),,0259-0190,,Annually,Prof A Bank (UWC),Department of History and Centre for Humanities Research (UWC),Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Language Matters:Studies in the Languages of Africa (Language Matters:Studies in the Languages of Southern Africa),,1022-8195,,Biannually,Lawrie Barnes (UNISA),Routledge & Unisa Press,Reviewed 2011,ISI Social Science & Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Law, Democracy and Development","Yes                                       URL: http://lexikos.journals.ac.za/

URL: http://www.journals.co.za/ej/ejour_lexikos.html",2077-4907,,Biannually,"Dr. Jamil D. Mujuzi
Department of Criminal Justice and Procedure
Faculty of Law
University of the Western Cape
Private Bag X 17
Bellville
7535
South Africa
Tel: +27 (0)21 959 3286 / 3299
Fax: +27 (0)21 959 2493
E mail: jdmujuzi@uwc.ac.za
","Faculty of Law, University of the Western Cape, Private Bag X 17, Bellville 7535                                                                 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexikos,,1684-4904,,Annually,J.C.M.D. du Plessis ,"Bureau of the Woordeboek van die Afrikaanse Taal, PO Box 245, Stellenbosch, 7599, Tel: 021 887 3113, Fax: 021 883 9492, email: marietta@pansalb.org.za",,ISI Social Science & Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Literator,,0258-2279,,Triannually,E-mail: Susan.Lourens@nwu.puk.ac.za                                        Tel:018 299-4081- Fax:018 299 4084,Literator Society of SA                                    Private Bag X6001                                          Potchefstroom                                                   2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LitNet Akademies,"Yes                                  URL: http://www.journals.co.za/ej/ejour_litnet.html

URL: http://www.litnet.co.za/cgi-bin/giga.cgi?cmd=cause_dir_news&cat=201&cause_id=1270",1995-5928,,Triannually,"Prof Etienne van Heerden                          UCT etiennev@mweb.co.za
    
","8 Louw Street                                                       Stellenbosch, 7600                                                       Tel: 021 886 5169; Fax: 086 512 6782                            www.litnet.co.za",Added 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Dynamics / Bestuursdinamika: Kontemorere Navorsing,Yes                                        URL: http://www.marineornithology.org/,1019-567X,,Quarterly,"Prof Christo Boshoff (NMMU) 
",Prof Christo Boschoff                                  Editor: Management Dynamics      Dpartment of Business Management                                     Stellenbosch University                     Private Bag X1                                MATIELAND                                    7600                                                                       E-mail: cboshoff@sun.ac.za,added to IBSS in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Orthology  ,,1018-3337,,Biannually,Tony Gaston   marine.ornithology@ec.gc.ca,"Marine Orthology                                                                P.O. Box 843                                                               Wellington, 7654       http://www.marineornithology.org",Being called for Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Technology SA,,1011-5528,,Biannually,Prof Esterhuysse (CPUT),The Society of Medical LaboratoryTechnologist of South Africa (SMLTSA)                                                ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditari:Accountancy Research,,2049-372x,,Biannually,Elmar Venetr       elmar.venter@up.ac.za,agsmith@emeraldinsight.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missionalia: Journal of the Southern African Missiological Society,,0256-9507,,Triannually,"Prof NJ Kritzinger editor@missionalia.org.za

",AcadSA                                               P.O. Box 35704                                  Menlo Park                                      0102,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mousaion,,0027-2639,,Biannually,E M Gericke ,UNISA Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musicus,,0256-8837,,Biannually,Dr Mageshen Naidoo,UNISA Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muziki: Journal of Music Research in Africa,,1812-5980,1753-593X,Annually,George T. King (UNISA),Routledge & Unisa Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navorsinge van die Nasionale Museum Bloemfontein,,0067-9208,,Irregular,,"National Museum                                                          P.O. Box 266                                                     Bloemfontein, 9300                                                                E-mail: library@nasmus.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neotestamentica:Journal of the New Testament Society of Southern Africa (NTSSA),http://content.ajarchive.org/cdm4/browse.php?CISOROOT=%2F2548356                                                    http://reference.sabinet.co.za/sa_epublication/neotest,0254-8356,,Biannually,"P Dijkhuize, PO Box 11217, Queenswood 0121, South Africa. Tell: (012) 527 0010, Email: neotestamentica@telkomsa.net","New Testament Society of Sothern Africa, P.O Box 11217, Queenswood 0121, South Africa. Email: jpunt@sun.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Agenda: South African Journal of Social and Economic Policy,,1607-2820,,Quarterly,,"PO Box 12491                                                                          Mill Street, 8010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Contree,,0379-9867,,Biannually,,"Department of History                                     University of the North West                                           Private Bag X5 OR X2046                                          Mmabatho, 2735                                                    Tel: 018 389 2191                                                                  E-mail: JHBIS@unibo.uniwest.ac.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
